old_name,new_name,status,reason
det_data_v8m_640_b16_voc2yolo-all-v1,train_det_data_v8m_voc2yolo-all-v1,auto,inferred
det_r22c_v8n_1024_b16_drone-and-motorbike-mixe,train_det_rddcn_v8n_drone-and-motorbike-mixe,auto,inferred
det_r22i_v8n_640_b16_voc2yolo-v1,train_det_data_v8n_voc2yolo-v1,auto,inferred
det_r22j_v8n_640_b16_voc2yolo-v1,train_det_data_v8n_voc2yolo-v1_2,auto,inferred
misc_crack500_csc_con_na_0_b0_manual,misc_crack500_csc_con_na_0_b0_manual,manual,missing run_meta/args/RUN_INFO
seg_cr5_last_800_b24_mask2poly-v2__open1close,train_seg_crack500_last_mask2poly-v2__open1close,auto,inferred
seg_cr5_v8nseg_640_b16_mask2poly-traincrop-valc,train_seg_crack500_v8nseg_mask2poly-traincrop-valc,auto,inferred
seg_cr5_v8nseg_800_b24_mask2poly-v2__open1close,train_seg_crack500_v8nseg_mask2poly-v2__open1close,auto,inferred
seg_r22c_best-best_0_b0_cascade,train_seg_r22c_best-best_0_v8nseg,auto,inferred
seg_r22c_best-best_1280_b0_cascade,train_seg_r22c_best-best_1_v8nseg,auto,inferred
seg_r22c_best_512_b16_d20_sg400_sc35,train_seg_rddcn_best_d20_sg400_sc35,auto,inferred
seg_r22c_best_512_b16_pseg512_det20_sg400_sc55,train_seg_rddcn_best_pseg512_det20_sg400_sc55,auto,inferred
seg_sgt_best-best_1280_b0_cascade,pred_cascade_seg_test_best,auto,inferred
