old_name,new_rel,status,message
cascade__det_RDD2022_China_v8n_1024__seg_CRACK500_ALL_v8n-seg_800,seg_sgt_best-best_1280_b0_cascade/260130-1101,renamed,ok
cascade__det_RDD2022_China_v8n_1024__seg_CSC_2649_v8n-seg_800,seg_r22c_best-best_1280_b0_cascade/260404-1217,renamed,ok
cascade_v2__det_RDD2022_China_v8n_1024__seg_CRACK500_ALL_v8n-seg_800,seg_r22c_best-best_0_b0_cascade/260108-0139,renamed,ok
cascade_v3__det_RDD2022_China_v8n_1024__seg_CRACK500_ALL_v8n-seg_800,seg_r22c_best-best_0_b0_cascade/260108-1223,renamed,ok
cascade_v3c__det_RDD2022_China_v8n_1024__seg_CRACK500_ALL_v8n-seg_800,seg_r22c_best-best_1280_b0_cascade/260114-1828,renamed,ok
crack500_csc_confmat_compare,misc_crack500_csc_con_na_0_b0_manual/260130-1108,renamed,ok
det_RDD2022_ALL_yolov8m_640_ep300_bs16_seed42_baseline__voc2yolo-all-v1,det_data_v8m_640_b16_voc2yolo-all-v1/260107-0342,renamed,ok
det_RDD2022_China_yolov8n_1024_ep300_bs16_seed42_baseline__drone-and-motorbike-mixed,det_r22c_v8n_1024_b16_drone-and-motorbike-mixe/260107-1858,renamed,ok
det_RDD2022_India_yolov8n_640_ep10_bs16_seed42_smoke__voc2yolo-v1,det_r22i_v8n_640_b16_voc2yolo-v1/260106-2229,renamed,ok
det_RDD2022_Japan_yolov8n_640_ep10_bs16_seed42_smoke__voc2yolo-v1,det_r22j_v8n_640_b16_voc2yolo-v1/260106-2150,renamed,ok
seg_CRACK500_ALL_yolov8n-seg_640_ep200_bs16_seed42_baseline__mask2poly-traincrop-valcrop,seg_cr5_v8nseg_640_b16_mask2poly-traincrop-valc/260107-2140,renamed,ok
seg_CRACK500_ALL_yolov8n-seg_800_ep200_bs24_seed42_baseline__mask2poly-v2__open1close1__eps0p001__max500,seg_cr5_last_800_b24_mask2poly-v2__open1close/260108-0103,renamed,ok
seg_CSC_2649_yolov8n-seg_800_ep200_bs24_seed42_ftbest__mask2poly-v2__open1close1__eps0p001__max500,seg_cr5_v8nseg_800_b24_mask2poly-v2__open1close/260130-0148,renamed,ok
seg_psegRDD_China_yolov8n-seg_512_ep25_bs16_seed42_pseudoFT__d20_sg400_sc35,seg_r22c_best_512_b16_d20_sg400_sc35/260122-1835,renamed,ok
segFT__pseg512_det20_sg400_sc55_mr2_seed42,seg_r22c_best_512_b16_pseg512_det20_sg400_sc55/260122-1741,renamed,ok
